iter	Logloss
0	0.6850416465
1	0.6768229691
2	0.6684614844
3	0.6607819922
4	0.6537014946
5	0.6462900327
6	0.6393627489
7	0.6319961737
8	0.6249999154
9	0.6187436798
10	0.6126234768
11	0.6074201399
12	0.6015460551
13	0.596116194
14	0.5908871047
15	0.5852831203
16	0.5804132273
17	0.5753489971
18	0.5707594641
19	0.5667062937
20	0.5622676888
21	0.5577531177
22	0.5547034974
23	0.550617233
24	0.546766479
25	0.542902795
26	0.5393727705
27	0.5361076965
28	0.5328989742
29	0.5302615028
30	0.526805181
31	0.5236001273
32	0.5211453333
33	0.5181234886
34	0.5152400913
35	0.5127065369
36	0.5098235582
37	0.5069067799
38	0.5046274341
39	0.5023101899
40	0.5002195615
41	0.4982249359
42	0.496149942
43	0.4941982773
44	0.4919496269
45	0.4901016865
46	0.4880165453
47	0.4861782135
48	0.4844962059
49	0.4830593941
50	0.4811802066
51	0.4792500458
52	0.4773637103
53	0.4758582855
54	0.4740829354
55	0.4728580742
56	0.4713838953
57	0.4697338042
58	0.4682187931
59	0.4668073893
60	0.4655076634
61	0.4643576255
62	0.4629896105
63	0.4616256111
64	0.4603263056
65	0.4591537298
66	0.4577123657
67	0.4564899456
68	0.4553432879
69	0.4542511728
70	0.4531634127
71	0.4521518482
72	0.4510455983
73	0.4499160188
74	0.4489391926
75	0.4478646651
76	0.4469886418
77	0.4458908074
78	0.444939552
79	0.4439575387
80	0.4430176335
81	0.4420138624
82	0.4414062153
83	0.4404854776
84	0.4399151983
85	0.4391082676
86	0.4382547505
87	0.4372509893
88	0.4363822415
89	0.435483159
90	0.4348439846
91	0.4341042137
92	0.4334617416
93	0.4327715292
94	0.4320876848
95	0.4313082798
96	0.4304030049
97	0.4298620082
98	0.4295536927
99	0.4289824497
100	0.4281968491
101	0.4273789524
102	0.4267579455
103	0.4260486945
104	0.4252541391
105	0.4246560598
106	0.4239555474
107	0.4235024082
108	0.4228025544
109	0.4222264818
110	0.4216018125
111	0.4208931432
112	0.4203114959
113	0.4197556553
114	0.4192008259
115	0.4188984619
116	0.4182936927
117	0.4178133665
118	0.4172054838
119	0.4166872678
120	0.4160390446
121	0.4156362941
122	0.4150322581
123	0.4145064582
124	0.4140710298
125	0.4135662362
126	0.4131055101
127	0.4126820947
128	0.4121552251
129	0.4116732202
130	0.4110139688
131	0.4105068438
132	0.4100818782
133	0.409660785
134	0.4090556046
135	0.4086982531
136	0.4083137626
137	0.4078715346
138	0.4074187243
139	0.4069959042
140	0.4064677893
141	0.406050027
142	0.4055641467
143	0.4051332042
144	0.4046965958
145	0.4042261181
146	0.4036634047
147	0.4032216084
148	0.4026833661
149	0.4022998759
150	0.4018026798
151	0.4014679118
152	0.4010558283
153	0.4006594631
154	0.4003448021
155	0.3999538331
156	0.3996039558
157	0.3991423115
158	0.398787051
159	0.3984524491
160	0.3981855605
161	0.3978595727
162	0.3973690309
163	0.3968618109
164	0.396426015
165	0.3960223563
166	0.3955428598
167	0.3951221843
168	0.3948435946
169	0.3945017538
170	0.3941855657
171	0.3939290545
172	0.3937390462
173	0.3935777407
174	0.3932124237
175	0.3927847943
176	0.3924830549
177	0.3921221894
178	0.391590558
179	0.3913259597
180	0.390847022
181	0.3904967005
182	0.3900585976
183	0.3896901206
184	0.3895275289
185	0.389100549
186	0.3887628124
187	0.3882960351
188	0.3879216094
189	0.3876149515
190	0.3873221176
191	0.3870572425
192	0.3867193582
193	0.3864314553
194	0.386179295
195	0.3858097228
196	0.3855977524
197	0.3852321739
198	0.3849848244
199	0.3845986295
200	0.3841827588
201	0.3839175908
202	0.3836249998
203	0.3833046074
204	0.3830060341
205	0.3827590242
206	0.3824915468
207	0.3820697508
208	0.3817394248
209	0.3813789725
210	0.3810576149
211	0.3808202581
212	0.3806073811
213	0.3803767536
214	0.3799214847
215	0.3796033985
216	0.3792225523
217	0.3790063187
218	0.3787669265
219	0.3784214233
220	0.3781337995
221	0.3778267038
222	0.3775850575
223	0.3773101555
224	0.3771304523
225	0.3767687038
226	0.3765045088
227	0.3763272194
228	0.3760780417
229	0.3757863687
230	0.3753854596
231	0.375174118
232	0.3749365245
233	0.3746911868
234	0.3745207414
235	0.3742129475
236	0.3738119448
237	0.3735600099
238	0.3732485829
239	0.3729338099
240	0.3727107729
241	0.3725632184
242	0.3723408699
243	0.3721042942
244	0.3718294079
245	0.3716091893
246	0.3713565008
247	0.3711902057
248	0.3708710424
249	0.370541773
250	0.3703164076
251	0.3698827117
252	0.3697176459
253	0.3694143557
254	0.3693637497
255	0.3692118216
256	0.3688507738
257	0.3685359108
258	0.3682719203
259	0.3681247646
260	0.3678351247
261	0.3674985348
262	0.3672401447
263	0.3669913525
264	0.3667936317
265	0.3666040556
266	0.3663985517
267	0.3662471416
268	0.3660869847
269	0.3658140456
270	0.3656558226
271	0.365308482
272	0.3650259211
273	0.3647847843
